,yyyymmdd,traceid,count
0,19960101,MV.MCPZ.--.SHZ,0
1,19960101,MV.MVPV.--.SHZ,45
2,19960101,MV.MVPE.--.SHX,0
3,19960101,MV.MHRV.--.SHY,0
4,19960101,MV.MBET.--.SHZ,45
5,19960101,MV.MSSZ.--.SHZ,45
6,19960101,MV.MHRN.--.SHY,0
7,19960101,MV.MLGT.--.SHZ,45
8,19960101,MV.MRYT.--.SHZ,45
9,19960101,MV.MSSE.--.SHX,45
10,19960101,MV.MCPN.--.SHY,0
11,19960101,MV.MCPT.--.SHZ,0
12,19960101,MV.MSSN.--.SHY,45
13,19960101,MV.MGAT.--.SHZ,45
14,19960101,MV.MCPE.--.SHX,0
15,19960101,MV.MGT2.--.SHZ,0
16,19960101,MV.MHRE.--.SHZ,0
17,19960101,MV.MSPT.--.SHZ,45
18,19960101,MV.MGHZ.--.SHZ,45
19,19960101,MV.MHRN.--.SHX,0
20,19960101,MV.MWHT.--.SHZ,45
21,19960101,MV.MVPN.--.SHY,45
22,19960101,MV.MWH2.--.SHZ,0
23,19960101,MV.MLGL.--.SHZ,45
24,19960101,MV.MCHT.--.SHZ,0
25,19960101,MV.MHRV.--.SHZ,0
26,19960101,MV.MHRE.--.SHX,0
27,19960102,MV.MCPZ.--.SHZ,0
28,19960102,MV.MVPV.--.SHZ,22
29,19960102,MV.MVPE.--.SHX,3
30,19960102,MV.MHRV.--.SHY,0
31,19960102,MV.MBET.--.SHZ,22
32,19960102,MV.MSSZ.--.SHZ,22
33,19960102,MV.MHRN.--.SHY,0
34,19960102,MV.MLGT.--.SHZ,22
35,19960102,MV.MRYT.--.SHZ,22
36,19960102,MV.MSSE.--.SHX,22
37,19960102,MV.MCPN.--.SHY,0
38,19960102,MV.MCPT.--.SHZ,0
39,19960102,MV.MSSN.--.SHY,22
40,19960102,MV.MGAT.--.SHZ,22
41,19960102,MV.MCPE.--.SHX,0
42,19960102,MV.MGT2.--.SHZ,0
43,19960102,MV.MHRE.--.SHZ,0
44,19960102,MV.MSPT.--.SHZ,22
45,19960102,MV.MGHZ.--.SHZ,22
46,19960102,MV.MHRN.--.SHX,0
47,19960102,MV.MWHT.--.SHZ,22
48,19960102,MV.MVPN.--.SHY,22
49,19960102,MV.MWH2.--.SHZ,0
50,19960102,MV.MLGL.--.SHZ,22
51,19960102,MV.MCHT.--.SHZ,0
52,19960102,MV.MHRV.--.SHZ,0
53,19960102,MV.MHRE.--.SHX,0
54,19960103,MV.MCPZ.--.SHZ,0
55,19960103,MV.MVPV.--.SHZ,22
56,19960103,MV.MVPE.--.SHX,22
57,19960103,MV.MHRV.--.SHY,0
58,19960103,MV.MBET.--.SHZ,22
59,19960103,MV.MSSZ.--.SHZ,22
60,19960103,MV.MHRN.--.SHY,0
61,19960103,MV.MLGT.--.SHZ,22
62,19960103,MV.MRYT.--.SHZ,22
63,19960103,MV.MSSE.--.SHX,22
64,19960103,MV.MCPN.--.SHY,0
65,19960103,MV.MCPT.--.SHZ,0
66,19960103,MV.MSSN.--.SHY,22
67,19960103,MV.MGAT.--.SHZ,22
