,date,maxcounter
19950727,2,2
19950728,89,89
19950729,18,18
19950730,20,20
19950731,55,55
19950801,12,12
19950802,18,18
19950803,11,11
19950804,24,24
19950805,177,177
19950806,130,130
19950807,43,43
19950808,12,12
19950809,18,18
19950810,21,21
19950811,34,34
19950812,155,155
19950813,218,218
19950814,86,86
19950815,17,17
19950816,36,36
19950817,19,19
19950818,14,14
19950819,24,24
19950820,136,136
19950821,272,272
19950822,51,51
19950823,59,59
19950824,32,32
19950825,32,32
19950826,426,426
19950827,90,90
19950828,136,136
19950829,121,121
19950830,112,112
19950831,166,166
19950901,195,195
19950902,322,322
19950903,258,258
19950904,133,133
19950905,39,39
19950906,60,60
19950907,30,30
19950908,40,40
19950909,30,30
19950910,19,19
19950911,7,7
19950912,36,36
19950913,30,30
19950914,9,9
19950915,8,8
19950916,61,61
19950917,181,181
19950918,24,24
19950919,20,20
19950920,15,15
19950921,95,95
19951011,0,0
19951013,9,9
19951016,35,35
19951023,65,65
19951107,52,52
19951108,34,34
19951109,40,40
19951110,29,29
19951111,34,34
19951112,106,106
19951113,193,193
19951114,378,378
19951115,821,821
19951201,41,41
19951202,41,41
19951203,77,77
19951204,56,56
19951205,30,30
19951206,387,387
19951207,618,618
19951208,267,267
19951209,143,143
19951210,25,25
19951211,6,6
19951212,12,12
19951213,32,32
19951214,42,42
19951215,12,12
19951216,16,16
19951217,42,42
19951218,35,35
19951219,27,27
19951220,29,29
19951221,68,68
19951222,52,52
19951223,35,35
19951224,29,29
19951225,52,52
19951226,217,217
19951227,27,27
19951228,15,15
19951229,22,22
19951230,18,18
19951231,9,9
19960101,50,50
19960102,22,22
19960103,21,21
19960104,20,20
19960105,18,18
19960106,346,346
19960107,71,71
19960108,74,74
19960109,69,69
19960110,22,22
19960111,25,25
19960112,247,247
19960113,334,334
19960114,44,44
19960115,69,69
19960116,24,24
19960117,13,13
19960118,29,29
19960119,66,66
19960120,86,86
19960121,106,106
19960122,94,94
19960123,131,131
19960124,110,110
19960125,6,6
19960126,394,394
19960127,1159,1159
19960128,30,30
19960129,68,68
19960130,22,22
19960131,28,28
19960725,149,149
19960201,135,135
19960202,12,12
19960203,25,25
19960204,44,44
19960205,37,37
19960206,9,9
19960208,0,0
19960209,15,15
19960210,3,3
19960215,10,10
19960223,7,7
19960226,13,13
19960228,14,14
19960726,132,132
19960301,13,13
19960302,18,18
19960305,42,42
19960306,11,11
19960307,17,17
19960308,35,35
19960309,17,17
19960311,12,12
19960312,56,56
19960314,47,47
19960315,29,29
19960316,27,27
19960317,16,16
19960318,24,24
19960319,29,29
19960320,42,42
19960321,9,9
19960322,0,0
19960323,36,36
19960324,24,24
19960325,81,81
19960326,153,153
19960327,84,84
19960328,42,42
19960329,27,27
19960330,37,37
19960331,32,32
19960401,36,36
19960402,61,61
19960403,27,27
19960404,205,205
19960405,179,179
19960406,29,29
19960407,19,19
19960408,161,161
19960409,16,16
19960410,405,405
19960420,715,715
19960421,396,396
19960422,396,396
19960423,611,611
19960424,508,508
19960425,512,512
19960426,829,829
19960427,369,369
19960428,76,76
19960429,103,103
19960430,51,51
19960501,40,40
19960502,133,133
19960503,410,410
19960504,47,47
19960505,76,76
19960506,69,69
19960507,72,72
19960508,97,97
19960509,94,94
19960510,115,115
19960511,67,67
19960512,119,119
19960513,144,144
19960514,167,167
19960515,244,244
19960516,93,93
19960517,45,45
19960518,41,41
19960519,62,62
19960520,62,62
19960521,73,73
19960522,67,67
19960523,77,77
19960524,71,71
19960525,129,129
19960526,135,135
19960527,108,108
19960528,103,103
19960529,99,99
19960530,46,46
19960531,311,311
19960601,425,425
19960602,386,386
19960603,53,53
19960604,74,74
19960605,83,83
19960606,54,54
19960607,39,39
19960608,54,54
19960609,70,70
19960610,122,122
19960611,85,85
19960612,59,59
19960613,78,78
19960614,199,199
19960615,255,255
19960616,181,181
19960617,129,129
19960618,95,95
19960619,95,95
19960620,69,69
19960621,63,63
19960622,62,62
19960623,76,76
19960624,80,80
19960625,59,59
19960626,88,88
19960627,96,96
19960628,74,74
19960629,62,62
19960630,63,63
19960701,82,82
19960702,104,104
19960703,55,55
19960704,72,72
19960705,53,53
19960706,61,61
19960707,26,26
19960708,12,12
19960709,28,28
19960710,38,38
19960711,42,42
19960712,39,39
19960713,52,52
19960714,50,50
19960715,46,46
19960716,49,49
19960717,49,49
19960718,43,43
19960719,46,46
19960720,105,105
19960721,226,226
19960722,264,264
19960723,85,85
19960724,33,33
19960727,69,69
19960728,115,115
19960729,192,192
19960730,226,226
19960731,238,238
19960801,153,153
19960802,307,307
19960803,289,289
19960804,294,294
19960805,296,296
19960806,196,196
19960807,261,261
19960808,271,271
19960809,277,277
19960810,189,189
19960811,290,290
19960812,98,98
19960813,170,170
19960814,152,152
19960815,140,140
19960816,95,95
19960817,129,129
19960818,97,97
19960819,229,229
