,MBBE,MBBY,MBFL,MBFR,MBGA,MBGB,MBGE,MBGH,MBHA,MBLG,MBLY,MBMH,MBRV,MBRY,MBSS,MBWH,
Oct-96,1,,,,1,1,1,1,,1,,,,1,,1,8
Nov-96,1,,,,1,1,1,1,,1,,,,1,,1,8
Dec-96,1,,,,1,1,1,1,,1,,,,1,,1,8
Jan-97,1,,,,1,1,1,1,,1,,,,1,,1,8
Feb-97,1,,,,1,1,1,1,,1,,,,1,,1,8
Mar-97,1,,,,1,1,1,1,,1,,,,1,,1,8
Apr-97,1,,,,1,1,1,1,,1,,,,1,,1,8
May-97,1,,,,1,1,1,1,,1,,,,1,,1,8
Jun-97,1,,,,1,1,1,1,,1,,,,1,,1,8
Jul-97,,,,,,1,1,1,,,,,,,,1,4
Aug-97,,,,,,1,1,1,,,,,,,,1,4
Sep-97,,,,,,1,1,1,,,,,,,,1,4
Oct-97,,,,,,,,,,,,,,,,1,1
Nov-97,,,,,,,,,,,,,,,,1,1
Dec-97,,,,,,,,,,,,,,,,1,1
Jan-98,,,,,,,,,,,,,,,,1,1
Feb-98,,,,,,,,,,,,,,,,1,1
Mar-98,,,,,,,,,,,,,,1,,1,2
Apr-98,,,,,,1,,1,,1,,1,,1,1,1,7
May-98,,,,,,1,,1,,1,,1,,1,1,1,7
Jun-98,,,,,,1,,1,,1,,1,,1,1,1,7
Jul-98,,,,,,1,,1,,1,,1,,1,1,1,7
Aug-98,,,,,,1,,1,,1,,1,,1,1,1,7
Sep-98,,,,,,1,,1,,1,,1,,1,1,1,7
Oct-98,,,,,,1,,1,,1,,1,,1,1,1,7
Nov-98,,,,,,1,,1,,1,,1,,1,1,1,7
Dec-98,,,,,,1,,1,,1,,1,,1,1,1,7
Jan-99,,,,,,1,,1,,1,,1,,1,1,1,7
Feb-99,,,,,,1,,1,,1,,1,,1,1,1,7
Mar-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Apr-99,,1,,,,1,,1,,1,,,,1,1,1,7
May-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Jun-99,,1,,,,1,,1,,,,1,,1,1,1,7
Jul-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Aug-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Sep-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Oct-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Nov-99,,1,,,,1,,1,,1,,1,,1,,1,7
Dec-99,,1,,,,1,,1,,1,,1,,1,1,1,8
Jan-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Feb-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Mar-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Apr-00,,1,,,,1,,1,,,,1,,1,1,1,7
May-00,,1,,,,1,,1,,,,1,,1,1,1,7
Jun-00,,1,,,,,,1,,,,1,,1,1,1,6
Jul-00,,1,,,,1,,1,,,,1,,1,1,1,7
Aug-00,,1,,,,1,,1,,,,1,,1,1,1,7
Sep-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Oct-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Nov-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Dec-00,,1,,,,1,,1,,1,,1,,1,1,1,8
Jan-01,,1,,,,1,,1,,1,,1,,1,1,1,8
Feb-01,,1,,,,1,,1,,1,,1,,1,1,1,8
Mar-01,,1,,,,1,,1,,1,,1,,1,1,1,8
Apr-01,,1,,,,1,,1,,1,,1,,1,1,1,8
May-01,,1,,,,1,,1,,1,,1,,1,1,1,8
Jun-01,,,,,,1,,1,,1,,1,,1,1,1,7
Jul-01,,,,,,1,,1,,1,,1,,1,1,1,7
Aug-01,,,,,,1,,1,,1,,1,,1,1,1,7
Sep-01,,,,,,1,,1,,1,,,,1,1,1,6
Oct-01,,,,,,1,,1,,1,,,,1,1,1,6
Nov-01,,,,,,1,,1,,1,,1,,1,1,1,7
Dec-01,,,,,,1,,1,,1,,1,,1,1,1,7
Jan-02,,,,,,1,,1,,1,,1,,1,1,1,7
Feb-02,,,,,,1,,1,,1,,1,,1,1,1,7
Mar-02,,,,,,1,,1,,1,,1,,1,1,1,7
Apr-02,,,,,,1,,1,,1,,1,,1,1,1,7
May-02,,,,,,1,,1,,1,,1,,1,1,1,7
Jun-02,,,,,,1,,1,,1,,1,,1,1,1,7
Jul-02,,,,,,1,,1,,1,,1,,1,1,1,7
Aug-02,,,,,,1,,1,,1,,1,,1,1,1,7
Sep-02,,,,,,1,,1,,1,,1,,1,1,1,7
Oct-02,,,,,,1,,1,,1,,1,,1,1,1,7
Nov-02,,,,,,1,,1,,1,,1,,1,1,1,7
Dec-02,,,,,,1,,1,,1,,1,,1,1,1,7
Jan-03,,,,,,1,,1,,1,,,,1,1,1,6
Feb-03,,,,,,1,,1,,1,,,,1,1,1,6
Mar-03,,,,,,1,,1,,1,,,1,1,1,1,7
Apr-03,,,,,,1,,1,,1,,,1,1,1,1,7
May-03,,,,,,1,,1,,1,,,1,1,1,1,7
Jun-03,,,,,,1,,1,,1,1,,1,1,1,1,8
Jul-03,,,,,,1,,1,,1,1,,1,1,1,1,8
Aug-03,,,,,,1,,1,,1,1,,1,1,1,1,8
Sep-03,,,,,,1,,1,,1,1,,1,1,1,1,8
Oct-03,,,,,,1,,1,,1,1,,1,1,1,1,8
Nov-03,,,,,,1,,1,,1,1,,1,,1,1,7
Dec-03,,,,,,1,,1,,1,1,,1,,1,1,7
Jan-04,,,,,,1,,1,,1,1,,1,,1,1,7
Feb-04,,,,,,1,,1,,1,1,,1,,1,1,7
Mar-04,,,,,,1,,1,,1,1,,1,,1,1,7
Apr-04,,,,,,1,,1,,1,1,,1,,1,1,7
May-04,,,,,,1,,1,,1,1,,1,,1,1,7
Jun-04,,,,,,1,,1,,1,1,,1,1,1,1,8
Jul-04,,,,,,1,,1,,1,1,,1,1,1,1,8
Aug-04,,,,,,1,,1,,1,1,,1,1,1,1,8
Sep-04,,1,,,,1,,1,1,1,1,,1,1,1,1,10
Oct-04,,1,,,,1,,1,1,,1,,1,1,1,1,9
Nov-04,,1,,,,1,,1,,,,,1,,,1,5
Dec-04,,1,,,,1,,1,1,,1,,1,,,1,7
Jan-05,,1,,,,1,,1,1,,1,,1,,,1,7
Feb-05,,1,,,,1,,1,1,,1,,1,,,1,7
Mar-05,,1,,,,1,,1,1,1,1,,1,1,,1,9
Apr-05,,1,,,,1,,1,1,1,1,,1,1,,1,9
May-05,,1,,,,1,,1,1,1,1,,1,1,,1,9
Jun-05,,1,,1,,1,,1,1,1,,,1,1,,1,9
Jul-05,,1,,1,,1,,1,1,1,,,1,1,,1,9
Aug-05,,1,,1,,1,,1,1,1,,,1,1,,1,9
Sep-05,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Oct-05,,1,1,1,,1,,1,,1,1,,1,1,,1,10
Nov-05,,1,1,1,,1,,1,,1,,,,1,,1,8
Dec-05,,1,1,1,,1,,1,1,1,,,,1,,1,9
Jan-06,,1,1,1,,1,,1,1,1,,,,1,,1,9
Feb-06,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Mar-06,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Apr-06,,1,1,1,,1,,1,1,1,1,,,1,,1,10
May-06,,1,1,1,,1,,1,1,1,1,,1,1,,1,11
Jun-06,,1,,1,,1,,1,1,1,,,1,1,,1,9
Jul-06,,1,,1,,1,,1,,1,,,1,1,,1,8
Aug-06,,1,,1,,1,,1,,1,,,1,1,,1,8
Sep-06,,1,1,1,,1,,1,,1,,,1,1,,1,9
Oct-06,,1,1,1,,1,,1,,1,,,1,1,,1,9
Nov-06,,1,1,1,,1,,1,,1,,,1,1,,1,9
Dec-06,,1,1,1,,1,,1,,1,,,1,1,,1,9
Jan-07,,1,1,1,,1,,1,,1,,,1,1,,1,9
Feb-07,,1,1,1,,1,,1,,1,,,1,1,,1,9
Mar-07,,1,1,1,,1,,1,,1,,,1,1,,1,9
Apr-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
May-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Jun-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Jul-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Aug-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Sep-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Oct-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Nov-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
Dec-07,,1,1,1,,1,,1,1,1,,,1,1,,1,10
,,,,,,,,,,,,,,,,,
TOTAL,9,67,25,31,9,128,12,129,28,115,26,54,54,116,78,135,
,6.67%,49.63%,18.52%,22.96%,6.67%,94.81%,8.89%,95.56%,20.74%,85.19%,19.26%,40.00%,40.00%,85.93%,57.78%,100.00%,
