station,ondate,offdate,days,days captured,days missing
MBET,1995-07-29 00:30:00,1997-08-22 15:30:00,  755.6250,  705.8403,   49.7847
MCPE,1996-03-30 19:20:00,1996-09-28 21:20:00,  182.0833,  181.5208,    0.5625
MCPN,1996-03-30 19:20:00,1996-09-28 21:20:00,  182.0833,  181.5208,    0.5625
MCPT,1996-02-11 19:10:00,1996-04-24 23:40:00,   73.1875,   73.1597,    0.0278
MCPZ,1996-03-30 19:20:00,1997-09-05 14:20:00,  523.7917,  522.8681,    0.9236
MGAT,1995-07-27 22:20:00,1997-07-30 20:10:00,  733.9097,  569.3681,  164.5417
MGHZ,1995-07-27 22:20:00,2001-02-16 13:20:00, 2030.6250,  958.8819, 1071.7431
MGT2,1996-04-24 23:50:00,1996-09-15 10:00:00,  143.4236,    4.4931,  138.9306
MHRE,1996-01-29 22:40:00,1996-09-18 07:00:00,  232.3472,  190.2431,   42.1042
MHRN,1996-01-29 16:20:00,1996-09-26 09:00:00,  240.6944,  163.0347,   77.6597
MHRV,1996-02-01 15:10:00,1996-09-18 07:00:00,  229.6597,  162.9931,   66.6667
MJHL,1998-01-03 09:10:00,2001-02-11 23:40:00, 1135.6042,   39.1806, 1096.4236
MJHT,1997-08-22 15:40:00,2001-02-16 13:20:00, 1273.9028,  321.9514,  951.9514
MLGL,1995-08-03 21:40:00,2001-02-16 13:20:00, 2023.6528,  329.8542, 1693.7986
MLGT,1995-07-28 22:30:00,2001-02-16 13:30:00, 2029.6250, 1264.2847,  765.3403
MLML,1996-01-18 23:10:00,1996-01-28 11:20:00,    9.5069,    0.0694,    9.4375
MLYT,1997-07-30 20:20:00,2001-02-16 13:20:00, 1296.7083,  400.2083,  896.5000
MPEV,,,,    0.0000,
MPEW,1995-07-29 19:40:00,1995-08-31 13:10:00,   32.7292,   22.6458,   10.0833
MPNS,1995-07-29 20:10:00,1995-08-28 00:50:00,   29.1944,    7.3333,   21.8611
MPVE,,,,    0.0000,
MRYT,1995-07-29 00:30:00,2001-02-16 13:30:00, 2029.5417, 1036.9583,  992.5833
MSAT,1995-07-27 22:20:00,1995-09-03 17:00:00,   37.7778,   31.8125,    5.9653
MSPT,1995-07-27 22:20:00,1998-01-20 18:30:00,  907.8403,  574.2917,  333.5486
MSSE,1995-12-09 17:00:00,1996-03-30 19:10:00,  112.0903,   50.0069,   62.0833
MSSN,1995-12-09 16:10:00,1996-03-30 19:10:00,  112.1250,   60.3264,   51.7986
MSSZ,1995-12-09 16:10:00,1996-03-30 19:10:00,  112.1250,   21.9097,   90.2153
MVOV,1997-01-14 18:50:00,1997-10-24 11:10:00,  282.6806,   45.8403,  236.8403
MVPE,1995-09-05 12:00:00,1996-01-29 16:10:00,  146.1736,   67.2639,   78.9097
MVPN,1995-07-27 04:00:00,1996-01-29 14:40:00,  186.4444,   69.9167,  116.5278
MVPV,1995-09-05 11:30:00,1996-01-29 14:40:00,  146.1319,   51.0278,   95.1042
MWEH,1998-01-20 21:10:00,1998-07-23 20:30:00,  183.9722,    5.3472,  178.6250
MWEL,1998-01-20 21:10:00,1998-07-24 12:30:00,  184.6389,    6.3750,  178.2639
MWH2,1996-02-02 14:20:00,1997-01-01 03:50:00,  333.5625,  123.0556,  210.5069
MWHE,1998-01-20 17:00:00,2001-02-16 13:20:00, 1122.8472,  380.7639,  742.0833
MWHN,1998-01-02 21:40:00,2001-02-16 13:20:00, 1140.6528,  306.1944,  834.4583
MWHT,1995-07-27 22:20:00,1996-02-02 14:10:00,  189.6597,  121.9097,   67.7500
MWHZ,1997-01-01 04:00:00,2001-02-16 13:20:00, 1507.3889,  464.4792, 1042.9097
MWNH,1998-01-20 19:40:00,1998-07-24 12:30:00,  184.7014,   24.9583,  159.7431
MWNL,1998-01-21 03:50:00,1998-07-24 12:30:00,  184.3611,    3.8264,  180.5347
MWZH,1998-01-20 21:10:00,1998-07-23 20:30:00,  183.9722,   28.2847,  155.6875
MWZL,,,,    0.0000,
