station,ondate,offdate,days,days captured,days missing
MBET,1995-07-28 13:04:00,1997-08-22 15:32:00,  756.1028,  749.7868,    6.3160
MCPT,1996-02-11 19:02:00,1996-04-24 23:47:00,   73.1979,   73.1549,    0.0431
MCPZ,1996-03-30 19:12:00,1997-09-05 13:58:00,  523.7819,  522.7660,    1.0160
MGAT,1995-07-28 13:04:00,1997-07-30 20:14:00,  733.2986,  726.9833,    6.3153
MGHZ,1995-07-28 13:04:00,2004-01-10 14:24:00, 3088.0556, 2989.1368,   98.9188
MHRE,1996-01-29 16:11:00,1996-09-26 10:25:00,  240.7597,  240.0931,    0.6667
MHRN,1996-01-29 16:13:00,1996-09-26 10:25:00,  240.7583,  240.0917,    0.6667
MHRV,1996-01-29 16:11:00,1996-09-26 10:25:00,  240.7597,  240.0931,    0.6667
MJHL,1998-01-02 19:37:00,2004-01-10 14:24:00, 2198.7826, 2163.0264,   35.7563
MJHT,1997-08-22 15:33:00,2004-01-10 14:24:00, 2331.9521, 2267.5347,   64.4174
MLGL,1995-08-03 20:01:00,2004-01-10 14:24:00, 3081.7660, 2987.6042,   94.1618
MLGT,1995-07-28 13:04:00,2004-01-09 21:22:00, 3087.3458, 2867.5028,  219.8431
MLYT,1997-07-30 20:16:00,2004-01-10 14:24:00, 2354.7556, 2277.6840,   77.0715
MNEV,2002-01-09 12:47:00,2002-12-19 16:37:00,  344.1597,  227.3535,  116.8063
MPEV,1995-08-11 02:51:00,1995-08-31 13:19:00,   20.4361,   15.6535,    4.7826
MPEW,1995-07-28 13:04:00,1995-08-31 13:19:00,   34.0104,   33.8569,    0.1535
MPNS,1995-07-28 13:04:00,1995-08-31 13:19:00,   34.0104,   33.8819,    0.1285
MPVE,1995-07-28 13:04:00,1995-08-15 19:56:00,   18.2861,   18.2278,    0.0583
MRYT,1995-07-28 13:04:00,2002-12-19 16:37:00, 2701.1479, 2627.8201,   73.3278
MSAT,1995-07-28 13:04:00,1995-10-26 00:29:00,   89.4757,   88.5375,    0.9382
MSPT,1995-07-28 13:04:00,1998-01-20 19:08:00,  907.2528,  860.5312,   46.7215
MSSE,1995-12-09 16:08:00,1996-03-30 19:10:00,  112.1264,  102.4576,    9.6688
MSSN,1995-12-09 16:08:00,1996-12-22 20:40:00,  379.1889,  109.0021,  270.1868
MSSZ,1995-12-09 16:08:00,1996-12-22 20:40:00,  379.1889,  109.0021,  270.1868
MVOV,1997-01-14 18:48:00,1997-12-03 13:53:00,  322.7951,  320.7118,    2.0833
MVPE,1995-09-05 11:27:00,1996-01-01 03:59:00,  117.6889,  115.5042,    2.1847
MVPN,1995-01-01 04:00:00,1996-01-01 03:59:15,  364.9995,  362.9556,    2.0439
MVPV,1995-09-05 11:27:00,1996-01-29 16:10:00,  146.1965,  134.4368,   11.7597
MWEH,1998-01-20 19:08:00,1998-07-24 13:23:00,  184.7604,  169.3160,   15.4444
MWEL,1998-01-20 19:08:00,1998-07-24 13:23:00,  184.7604,  182.4062,    2.3542
MWH2,1996-02-02 14:20:00,1997-01-01 03:59:00,  333.5688,  332.3028,    1.2660
MWHE,1998-01-04 22:53:00,2004-01-10 14:24:00, 2196.6465, 1954.3201,  242.3264
MWHN,1998-01-04 22:53:00,2004-01-10 14:24:00, 2196.6465, 1980.6021,  216.0444
MWHT,1995-07-28 13:04:00,1996-02-02 14:19:00,  189.0521,  177.2333,   11.8188
MWHZ,1997-01-01 04:00:00,2004-01-10 14:24:00, 2565.4333, 2309.1576,  256.2757
MWNH,1998-01-20 19:09:00,1998-07-24 13:23:00,  184.7597,  184.5465,    0.2132
MWNL,1998-01-20 19:09:00,1998-07-24 13:23:00,  184.7597,  184.5465,    0.2132
MWZH,1998-01-20 19:09:00,1998-07-24 13:23:00,  184.7597,  184.5465,    0.2132
MWZL,,,,    0.0000,
