station,ondate,offdate,days,days captured,days missing
AMER,1995-07-30 13:40:00,1996-12-09 16:20:00,  498.1111,   35.5069,  462.6042
CHP2,1997-05-18 16:30:00,1997-07-03 21:10:00,   46.1944,   16.5000,   29.6944
CHP3,1997-05-15 16:30:00,1997-08-05 04:40:00,   81.5069,   73.2639,    8.2431
CHPK,1996-12-09 17:10:00,1997-02-02 15:40:00,   54.9375,   34.1458,   20.7917
GAGE,1998-08-28 18:10:00,1999-12-24 03:40:00,  482.3958,   21.6528,  460.7431
GAGEOLD,1998-02-05 09:20:00,1998-07-17 15:50:00,  162.2708,  142.0764,   20.1944
HERM,1998-08-28 18:10:00,2000-10-06 03:10:00,  769.3750,  430.3194,  339.0556
HERMOLD,1998-02-05 09:20:00,1998-07-17 15:50:00,  162.2708,  156.2014,    6.0694
LONG,1995-08-03 20:20:00,1999-12-31 23:50:00, 1611.1458,  941.1111,  670.0347
LONGOLD,1998-02-05 09:20:00,1998-07-17 16:00:00,  162.2778,  144.9444,   17.3333
PRNG,1995-07-30 16:40:00,1996-02-08 23:00:00,  193.2639,  131.6736,   61.5903
