date	MGHZ
19950728	0.24
19950729	0.14
19950730	0.24
19950731	0.11
19950801	0.26
19950802	0.32
19950803	0.16
19950804	0.10
19950805	0.46
19950806	0.52
19950807	0.36
19950808	0.45
19950809	0.29
19950810	0.22
19950811	0.20
19950812	0.30
19950813	0.76
19950814	0.60
19950815	0.25
19950816	0.26
19950817	0.23
19950818	0.16
19950819	0.19
19950820	0.35
19950821	0.35
19950822	0.16
19950823	0.12
19950824	0.14
19950825	0.15
19950826	0.22
19950827	0.21
19950828	0.14
19950829	0.11
19950830	0.14
19950831	0.24
19950901	0.16
19950902	0.24
19950903	0.25
19950904	0.12
19950905	0.16
19950906	0.61
19950907	0.53
19950908	0.25
19950909	0.39
19950910	0.28
19950911	0.26
19950912	0.31
19950913	0.08
19950914	0.17
19950915	0.51
19950916	0.38
19950917	0.46
19950918	0.17
19950919	0.08
19950920	0.15
19950921	0.16
19950922	0.23
19950923	0.36
19950924	0.33
19950925	0.65
19950926	0.69
19950927	0.12
19950928	0.08
19950929	0.06
19950930	0.10
19951001	0.19
19951002	0.15
19951003	0.06
19951004	0.13
19951005	0.08
19951006	0.18
19951007	0.10
19951008	0.11
19951009	0.17
19951010	0.03
19951011	0.08
19951012	0.15
19951013	0.06
19951014	0.10
19951015	0.06
19951016	0.05
19951017	0.15
19951018	0.24
19951019	0.34
19951020	0.16
19951021	0.18
19951022	0.19
19951023	0.30
19951024	0.31
19951025	0.16
19951026	0.02
19951027	0.00
19951028	0.00
19951029	0.00
19951030	0.00
19951031	0.06
19951101	0.22
19951102	0.06
19951103	0.18
19951104	0.22
19951105	0.24
19951106	0.26
19951107	0.31
19951108	0.47
19951109	0.15
19951110	0.14
19951111	0.32
19951112	0.34
19951113	0.81
19951114	0.56
19951115	0.99
19951116	0.45
19951117	0.28
19951118	0.16
19951119	0.18
19951120	0.76
19951121	0.33
19951122	0.63
19951123	0.10
19951124	0.40
19951125	0.38
19951126	0.29
19951127	0.22
19951128	0.22
19951129	0.26
19951130	0.06
19951201	0.06
19951202	0.08
19951203	0.12
19951204	0.10
19951205	0.21
19951206	0.46
19951207	0.48
19951208	0.17
19951209	0.16
19951210	0.17
19951211	0.28
19951212	0.07
19951213	0.29
19951214	0.22
19951215	0.23
19951216	0.22
19951217	0.26
19951218	0.19
19951219	0.34
19951220	0.22
19951221	0.29
19951222	0.25
19951223	0.28
19951224	0.19
19951225	0.18
19951226	0.46
19951227	0.29
19951228	0.22
19951229	0.36
19951230	0.28
19951231	0.17
19960101	0.86
19960102	1.00
19960103	0.99
19960104	1.00
19960105	1.00
19960106	1.00
19960107	0.97
19960108	1.00
19960109	1.00
19960110	0.18
19960111	0.00
19960112	0.08
19960113	1.00
19960114	1.00
19960115	1.00
19960116	1.00
19960117	1.00
19960118	0.96
19960119	1.00
19960120	1.00
19960121	1.00
19960122	1.00
19960123	1.00
19960124	0.99
19960125	0.92
19960126	0.99
19960127	1.00
19960128	1.00
19960129	1.00
19960130	1.00
19960131	0.98
19960201	1.00
19960202	1.00
19960203	1.00
19960204	1.00
19960205	1.00
19960206	1.00
19960207	0.97
19960208	1.00
19960209	1.00
19960210	1.00
19960211	1.00
19960212	1.00
19960213	1.00
19960214	1.00
19960215	1.00
19960216	1.00
19960217	1.00
19960218	1.00
19960219	1.00
19960220	1.00
19960221	1.00
19960222	1.00
19960223	1.00
19960224	1.00
19960225	1.00
19960226	1.00
19960227	1.00
19960228	1.00
19960229	1.00
19960301	1.00
19960302	1.00
19960303	1.00
19960304	1.00
19960305	1.00
19960306	1.00
19960307	1.00
19960308	1.00
19960309	1.00
19960310	1.00
19960311	1.00
19960312	1.00
19960313	1.00
19960314	1.00
19960315	1.00
19960316	1.00
19960317	1.00
19960318	1.00
19960319	1.00
19960320	1.00
19960321	1.00
19960322	1.00
19960323	1.00
19960324	1.00
19960325	1.00
19960326	1.00
19960327	1.00
19960328	1.00
19960329	1.00
19960330	1.00
19960331	0.99
19960401	0.99
19960402	1.00
19960403	1.00
19960404	1.00
19960405	1.00
19960406	1.00
19960407	1.00
19960408	1.00
19960409	1.00
19960410	1.00
19960411	1.00
19960412	1.00
19960413	0.99
19960414	1.00
19960415	1.00
19960416	1.00
19960417	1.00
19960418	0.99
19960419	1.00
19960420	1.00
19960421	1.00
19960422	1.00
