date	MRYT
19950728	0.00
19950729	0.54
19950730	0.30
19950731	0.06
19950801	0.08
19950802	0.10
19950803	0.60
19950804	0.68
19950805	0.46
19950806	0.38
19950807	0.42
19950808	0.53
19950809	0.60
19950810	0.40
19950811	0.51
19950812	0.83
19950813	0.32
19950814	0.15
19950815	0.40
19950816	0.60
19950817	0.93
19950818	0.93
19950819	0.88
19950820	0.12
19950821	0.22
19950822	0.18
19950823	0.27
19950824	0.31
19950825	1.00
19950826	0.99
19950827	0.94
19950828	0.24
19950829	0.14
19950830	0.11
19950831	0.11
19950901	0.12
19950902	0.10
19950903	0.51
19950904	0.99
19950905	0.92
19950906	0.84
19950907	0.10
19950908	0.08
19950909	0.20
19950910	0.09
19950911	0.01
19950912	0.04
19950913	0.06
19950914	0.40
19950915	0.45
19950916	0.12
19950917	0.35
19950918	0.06
19950919	0.05
19950920	0.06
19950921	0.18
19950922	0.25
19950923	0.92
19950924	0.64
19950925	0.04
19950926	0.03
19950927	0.46
19950928	0.61
19950929	0.56
19950930	0.06
19951001	0.12
19951002	0.12
19951003	0.02
19951004	0.03
19951005	0.06
19951006	0.12
19951007	0.06
19951008	0.12
19951009	0.18
19951010	0.01
19951011	0.06
19951012	0.03
19951013	0.01
19951014	0.08
19951015	0.02
19951016	0.03
19951017	0.06
19951018	0.12
19951019	0.19
19951020	0.05
19951021	0.11
19951022	0.10
19951023	0.10
19951024	0.19
19951025	0.17
19951026	0.06
19951027	0.04
19951028	0.03
19951029	0.28
19951030	0.14
19951031	0.06
19951101	0.06
19951102	0.01
19951103	0.03
19951104	0.04
19951105	0.06
19951106	0.06
19951107	0.08
19951108	0.05
19951109	0.06
19951110	0.04
19951111	0.03
19951112	0.13
19951113	0.13
19951114	0.17
19951115	0.97
19951116	0.38
19951117	0.17
19951118	0.03
19951119	0.05
19951120	0.17
19951121	0.07
19951122	0.12
19951123	0.05
19951124	0.44
19951125	0.42
19951126	0.04
19951127	0.03
19951128	0.03
19951129	0.01
19951130	0.05
19951201	0.03
19951202	0.01
19951203	0.08
19951204	0.49
19951205	0.76
19951206	0.76
19951207	0.62
19951208	0.08
19951209	0.06
19951210	0.06
19951211	0.01
19951212	0.01
19951213	0.09
19951214	0.09
19951215	0.04
19951216	0.04
19951217	0.08
19951218	0.07
19951219	0.05
19951220	0.03
19951221	0.05
19951222	0.09
19951223	0.05
19951224	0.03
19951225	0.07
19951226	0.07
19951227	0.03
19951228	0.02
19951229	0.04
19951230	0.03
19951231	0.01
19960101	0.06
19960102	0.04
19960103	0.02
19960104	0.03
19960105	0.01
19960106	0.17
19960107	0.02
19960108	0.06
19960109	0.01
19960110	0.00
19960111	0.00
19960112	0.00
19960113	0.06
19960114	0.10
19960115	0.14
19960116	0.08
19960117	0.01
19960118	0.29
19960119	0.42
19960120	0.39
19960121	0.50
19960122	0.65
19960123	0.75
19960124	0.75
19960125	0.59
19960126	0.92
19960127	0.98
19960128	0.94
19960129	0.88
19960130	0.61
19960131	0.66
19960201	0.64
19960202	0.37
19960203	0.56
19960204	0.73
19960205	0.90
19960206	0.91
19960207	0.60
19960208	0.31
19960209	0.12
19960210	0.03
19960211	0.11
19960212	0.02
19960213	0.02
19960214	0.06
19960215	0.05
19960216	0.02
19960217	0.09
19960218	0.03
19960219	0.08
19960220	0.06
19960221	0.10
19960222	0.12
19960223	0.05
19960224	0.18
19960225	0.15
19960226	0.26
19960227	0.18
19960228	0.06
19960229	0.01
19960301	0.05
19960302	0.03
19960303	0.06
19960304	0.18
19960305	0.35
19960306	0.47
19960307	0.62
19960308	0.65
19960309	0.57
19960310	0.56
19960311	0.80
19960312	0.97
19960313	0.96
19960314	0.95
19960315	0.68
19960316	0.20
19960317	0.09
19960318	0.08
19960319	0.17
19960320	0.13
19960321	0.07
19960322	0.04
19960323	0.17
19960324	0.14
19960325	0.20
19960326	0.27
19960327	0.24
19960328	0.52
19960329	0.41
19960330	0.17
19960331	0.10
19960401	0.12
19960402	0.16
19960403	0.60
19960404	0.62
19960405	0.40
19960406	0.33
19960407	0.08
19960408	0.35
19960409	0.45
19960410	0.75
19960411	0.99
19960412	1.00
19960413	0.85
19960414	0.94
19960415	1.00
19960416	1.00
19960417	1.00
19960418	0.99
19960419	1.00
19960420	1.00
19960421	0.99
19960422	0.96
19960423	0.97
19960424	0.94
19960425	0.92
19960426	1.00
19960427	0.95
19960428	0.49
19960429	0.59
19960430	0.69
19960501	0.53
19960502	0.34
19960503	0.90
19960504	0.19
19960505	0.14
19960506	0.30
19960507	0.53
19960508	0.58
19960509	0.53
19960510	0.54
19960511	0.55
19960512	0.67
19960513	0.83
19960514	0.62
19960515	0.61
19960516	0.56
19960517	0.39
19960518	0.14
19960519	0.08
19960520	0.22
19960521	0.17
19960522	0.15
19960523	0.22
19960524	0.39
19960525	0.38
19960526	0.35
19960527	0.34
19960528	0.35
19960529	0.51
19960530	0.34
19960531	0.60
19960601	0.92
19960602	0.95
19960603	0.51
19960604	0.43
19960605	0.47
19960606	0.36
19960607	0.38
19960608	0.32
19960609	0.33
19960610	0.38
19960611	0.39
19960612	0.38
19960613	0.47
19960614	0.58
19960615	0.44
19960616	0.60
19960617	0.53
19960618	0.35
19960619	0.29
19960620	0.33
19960621	0.34
19960622	0.47
19960623	0.37
19960624	0.28
19960625	0.32
19960626	0.34
19960627	0.30
19960628	0.32
19960629	0.35
19960630	0.33
19960701	0.30
19960702	0.47
19960703	0.53
19960704	0.47
19960705	0.39
19960706	0.49
19960707	0.75
19960708	0.97
19960709	0.53
19960710	0.34
19960711	0.62
19960712	0.46
19960713	0.35
19960714	0.62
19960715	0.76
19960716	0.42
19960717	0.26
19960718	0.31
19960719	0.40
19960720	0.21
19960721	0.57
19960722	0.56
19960723	0.57
19960724	0.74
19960725	0.85
19960726	0.51
19960727	0.58
19960728	0.62
19960729	0.83
19960730	0.70
19960731	0.43
19960801	0.54
19960802	0.78
19960803	0.62
19960804	0.68
19960805	0.80
19960806	0.81
19960807	0.61
19960808	0.44
19960809	0.60
19960810	0.54
19960811	0.70
19960812	0.66
19960813	0.60
19960814	0.67
19960815	0.58
19960816	0.37
19960817	0.33
19960818	0.52
19960819	0.60
19960820	0.77
19960821	0.78
19960822	0.67
19960823	0.26
19960824	0.62
19960825	0.44
19960826	0.70
19960827	0.87
19960828	0.28
19960829	0.54
19960830	0.79
19960831	0.49
19960901	0.47
19960902	0.62
19960903	0.62
19960904	0.56
19960905	0.38
19960906	0.68
19960907	0.66
19960908	0.40
19960909	0.05
19960910	0.06
19960911	0.03
19960912	0.01
19960913	0.09
19960914	0.77
19960915	0.63
19960916	0.62
19960917	0.74
19960918	0.56
19960919	0.22
19960920	0.12
19960921	0.09
19960922	0.08
19960923	0.10
19960924	0.03
19960925	0.23
19960926	0.19
19960927	0.27
19960928	0.51
19960929	0.65
19960930	0.29
19961001	0.22
19961002	0.03
19961003	0.10
19961004	0.34
19961005	0.18
19961006	0.17
19961007	0.08
19961008	0.09
19961009	0.35
19961010	0.28
19961011	0.67
19961012	0.11
19961013	0.07
19961014	0.10
19961015	0.16
19961016	0.22
19961017	0.35
19961018	0.16
19961019	0.06
19961020	0.12
19961021	0.16
19961022	0.29
19961023	0.12
19961024	0.23
19961025	0.13
19961026	0.48
19961027	0.10
19961028	0.58
19961029	0.08
19961030	0.09
19961031	0.39
19961101	0.40
19961102	0.71
19961103	0.08
19961104	0.69
19961105	0.60
19961106	0.89
19961107	0.53
19961108	0.28
19961109	0.30
19961110	0.71
19961111	0.24
19961112	0.08
19961113	0.03
19961114	0.34
19961115	0.49
19961116	0.35
19961117	0.20
19961118	0.41
19961119	0.31
19961120	0.38
19961121	0.48
19961122	0.19
19961123	0.15
19961124	0.17
19961125	0.08
19961126	0.37
19961127	0.23
19961128	0.19
19961129	0.15
19961130	0.16
19961201	0.66
19961202	0.64
19961203	0.62
19961204	0.64
19961205	0.62
19961206	0.58
19961207	0.51
19961208	0.23
19961209	0.20
19961210	0.55
19961211	0.24
19961212	0.09
19961213	0.06
19961214	0.01
19961215	0.04
19961216	0.12
19961217	0.26
19961218	0.16
19961219	0.33
19961220	0.29
19961221	0.31
19961222	0.35
19961223	0.61
19961224	0.56
19961225	0.81
19961226	0.73
19961227	0.74
19961228	0.87
19961229	0.99
19961230	0.97
19961231	0.87
19970101	0.76
19970102	0.84
19970103	0.78
19970104	0.83
19970105	0.86
19970106	0.84
19970107	0.83
19970108	0.90
19970109	0.85
19970110	0.63
19970111	0.58
19970112	0.50
19970113	0.67
19970114	0.67
19970115	0.51
19970116	0.34
19970117	0.33
19970118	0.42
19970119	0.39
19970120	0.44
19970121	0.51
19970122	0.84
19970123	0.85
19970124	0.83
19970125	0.90
19970126	0.72
19970127	0.90
19970128	0.89
19970129	0.71
19970130	0.96
19970131	0.74
19970201	0.90
19970202	0.86
19970203	0.72
19970204	0.94
19970205	0.96
19970206	0.94
19970207	0.97
19970208	0.98
19970209	0.98
19970210	1.00
19970211	0.99
19970212	0.96
19970213	0.95
19970214	0.93
19970215	0.62
19970216	0.97
19970217	0.75
19970218	0.24
19970219	0.28
19970220	0.36
19970221	0.40
19970222	0.24
19970223	0.29
19970224	0.38
19970225	0.98
19970226	0.96
19970227	0.97
19970228	0.85
19970301	0.97
19970302	0.97
19970303	0.93
19970304	0.93
19970305	0.78
19970306	0.85
19970307	0.53
19970308	0.81
19970309	0.88
19970310	0.84
19970311	0.81
19970312	0.44
19970313	0.40
19970314	0.74
19970315	0.90
19970316	0.90
19970317	0.82
19970318	0.59
19970319	0.58
19970320	0.47
19970321	0.35
19970322	0.42
19970323	0.40
19970324	0.33
19970325	0.24
19970326	0.59
19970327	0.69
19970328	0.59
19970329	0.58
19970330	0.67
19970331	0.58
19970401	0.60
19970402	0.45
19970403	0.25
19970404	0.54
19970405	0.38
19970406	0.28
19970407	0.27
19970408	0.19
19970409	0.19
19970410	0.28
19970411	0.42
19970412	0.47
19970413	0.35
19970414	0.35
19970415	0.53
19970416	0.27
19970417	0.00
19970418	0.00
19970419	0.06
19970420	0.17
19970421	0.27
19970422	0.53
19970423	0.71
19970424	0.74
19970425	0.59
19970426	0.49
19970427	0.49
19970428	0.47
19970429	0.44
19970430	0.43
19970501	0.49
19970502	0.60
19970503	0.65
19970504	0.59
19970505	0.61
19970506	0.66
19970507	0.56
19970508	0.41
19970509	0.19
19970510	0.65
19970511	0.82
19970512	0.71
19970513	0.83
19970514	0.91
19970515	0.95
19970516	0.96
19970517	0.99
19970518	0.99
19970519	0.99
19970520	0.99
19970521	0.93
19970522	0.73
19970523	0.66
19970524	0.88
19970525	0.76
19970526	0.54
19970527	0.62
19970528	0.59
19970529	0.69
19970530	0.75
19970531	0.83
19970601	0.74
19970602	0.67
19970603	0.71
19970604	0.80
19970605	0.83
19970606	0.72
19970607	0.69
19970608	0.67
19970609	0.70
19970610	0.85
19970611	0.59
19970612	0.74
19970613	0.66
19970614	0.58
19970615	0.73
19970616	0.65
19970617	0.73
19970618	0.77
19970619	0.38
19970620	0.36
19970621	0.59
19970622	0.58
19970623	0.58
19970624	0.62
19970625	0.56
19970626	0.11
19970627	0.00
19970628	0.00
19970629	0.00
19970630	0.00
19970701	0.00
19970702	0.00
19970703	0.00
19970704	0.00
19970705	0.00
19970706	0.00
19970707	0.00
19970708	0.00
19970709	0.00
