date	MWHZ
19950728	0.00
19950729	0.00
19950730	0.00
19950731	0.00
19950801	0.00
19950802	0.00
19950803	0.00
19950804	0.00
19950805	0.00
19950806	0.00
19950807	0.00
19950808	0.00
19950809	0.00
19950810	0.00
19950811	0.00
19950812	0.00
19950813	0.00
19950814	0.00
19950815	0.00
19950816	0.00
19950817	0.00
19950818	0.00
19950819	0.00
19950820	0.00
19950821	0.00
19950822	0.00
19950823	0.00
19950824	0.00
19950825	0.00
19950826	0.00
19950827	0.00
19950828	0.00
19950829	0.00
19950830	0.00
19950831	0.00
19950901	0.00
19950902	0.00
19950903	0.00
19950904	0.00
19950905	0.00
19950906	0.00
19950907	0.00
19950908	0.00
19950909	0.00
19950910	0.00
19950911	0.00
19950912	0.00
19950913	0.00
19950914	0.00
19950915	0.00
19950916	0.00
19950917	0.00
19950918	0.00
19950919	0.00
19950920	0.00
19950921	0.00
19950922	0.00
19950923	0.00
19950924	0.00
19950925	0.00
19950926	0.00
19950927	0.00
19950928	0.00
19950929	0.00
19950930	0.00
19951001	0.00
19951002	0.00
19951003	0.00
19951004	0.00
19951005	0.00
19951006	0.00
19951007	0.00
19951008	0.00
19951009	0.00
19951010	0.00
19951011	0.00
19951012	0.00
19951013	0.00
19951014	0.00
19951015	0.00
19951016	0.00
19951017	0.00
19951018	0.00
19951019	0.00
19951020	0.00
19951021	0.00
19951022	0.00
19951023	0.00
19951024	0.00
19951025	0.00
19951026	0.00
19951027	0.00
19951028	0.00
19951029	0.00
19951030	0.00
19951031	0.00
19951101	0.00
19951102	0.00
19951103	0.00
19951104	0.00
19951105	0.00
19951106	0.00
19951107	0.00
19951108	0.00
19951109	0.00
19951110	0.00
19951111	0.00
19951112	0.00
19951113	0.00
19951114	0.00
19951115	0.00
19951116	0.00
19951117	0.00
19951118	0.00
19951119	0.00
19951120	0.00
19951121	0.00
19951122	0.00
19951123	0.00
19951124	0.00
19951125	0.00
19951126	0.00
19951127	0.00
19951128	0.00
19951129	0.00
19951130	0.00
19951201	0.00
19951202	0.00
19951203	0.00
19951204	0.00
19951205	0.00
19951206	0.00
19951207	0.00
19951208	0.00
19951209	0.00
19951210	0.00
19951211	0.00
19951212	0.00
19951213	0.00
19951214	0.00
19951215	0.00
19951216	0.00
19951217	0.00
19951218	0.00
19951219	0.00
19951220	0.00
19951221	0.00
19951222	0.00
19951223	0.00
19951224	0.00
19951225	0.00
19951226	0.00
19951227	0.00
19951228	0.00
19951229	0.00
19951230	0.00
19951231	0.00
19960101	0.00
19960102	0.00
19960103	0.00
19960104	0.00
19960105	0.00
19960106	0.00
19960107	0.00
19960108	0.00
19960109	0.00
19960110	0.00
19960111	0.00
19960112	0.00
19960113	0.00
19960114	0.00
19960115	0.00
19960116	0.00
19960117	0.00
19960118	0.00
19960119	0.00
19960120	0.00
19960121	0.00
19960122	0.00
19960123	0.00
19960124	0.00
19960125	0.00
19960126	0.00
19960127	0.00
19960128	0.00
19960129	0.00
19960130	0.00
19960131	0.00
19960201	0.00
19960202	0.00
19960203	0.00
19960204	0.00
19960205	0.00
19960206	0.00
19960207	0.00
19960208	0.00
19960209	0.00
19960210	0.00
19960211	0.00
19960212	0.00
19960213	0.00
19960214	0.00
19960215	0.00
19960216	0.00
19960217	0.00
19960218	0.00
19960219	0.00
19960220	0.00
19960221	0.00
19960222	0.00
19960223	0.00
19960224	0.00
19960225	0.00
19960226	0.00
19960227	0.00
19960228	0.00
19960229	0.00
19960301	0.00
19960302	0.00
19960303	0.00
19960304	0.00
19960305	0.00
19960306	0.00
19960307	0.00
19960308	0.00
19960309	0.00
19960310	0.00
19960311	0.00
19960312	0.00
19960313	0.00
19960314	0.00
19960315	0.00
19960316	0.00
19960317	0.00
19960318	0.00
19960319	0.00
19960320	0.00
19960321	0.00
19960322	0.00
19960323	0.00
19960324	0.00
19960325	0.00
19960326	0.00
19960327	0.00
19960328	0.00
19960329	0.00
19960330	0.00
19960331	0.00
19960401	0.00
19960402	0.00
19960403	0.00
19960404	0.00
19960405	0.00
19960406	0.00
19960407	0.00
19960408	0.00
19960409	0.00
19960410	0.00
19960411	0.00
19960412	0.00
19960413	0.00
19960414	0.00
19960415	0.00
19960416	0.00
19960417	0.00
19960418	0.00
19960419	0.00
19960420	0.00
19960421	0.00
19960422	0.00
19960423	0.00
19960424	0.00
19960425	0.00
19960426	0.00
19960427	0.00
19960428	0.00
19960429	0.00
19960430	0.00
19960501	0.00
19960502	0.00
19960503	0.00
19960504	0.00
19960505	0.00
19960506	0.00
19960507	0.00
19960508	0.00
19960509	0.00
19960510	0.00
19960511	0.00
19960512	0.00
19960513	0.00
19960514	0.00
19960515	0.00
19960516	0.00
19960517	0.00
19960518	0.00
19960519	0.00
19960520	0.00
19960521	0.00
19960522	0.00
19960523	0.00
19960524	0.00
19960525	0.00
19960526	0.00
19960527	0.00
19960528	0.00
19960529	0.00
19960530	0.00
19960531	0.00
19960601	0.00
19960602	0.00
19960603	0.00
19960604	0.00
19960605	0.00
19960606	0.00
19960607	0.00
19960608	0.00
19960609	0.00
19960610	0.00
