AAR 46N08.10  25E53.70    1101
BAC 46N34.00  26E54.00     167
BMR 47N40.37  23E29.81     228
BIR 46N15.98  27E37.58     225
BRD 45N33.20  27E01.80     356
BUC 44N24.81  26E05.80      82
BUC144N20.80  26E01.80      75
BZS 45N37.00  21E37.00     150
CDB 44N40.61  26E16.24      85
CEA 46N58.55  25E57.07    1699
CEI 47N41.10  22E27.51     125
CFR 45N11.12  28E09.19      21
CGN 44N10.27  26E00.40      78
CJR 46N42.80  23E35.89     750
CJR146N45.97  23E33.08     345
CLI 46N35.33  27E15.37     502
CLO 45N04.43  22E48.11     355
CMP 45N16.10  25E02.30     598
CVD 44N20.72  28E02.69     104
COZ 45N19.23  24E20.55    1610
CVO 45N49.33  26E10.43     635
DEV 45N53.00  22E54.20     250
DRA 44N40.72  24E15.37     180
DOC 46N54.43  26E33.00     330
FOC 45N41.70  27E11.00      61
GZR 45N23.60  22E46.60     850
HNM 47N16.65  24E44.03    1580
IAS 47N11.60  27E33.70     160
ISR 45N08.27  26E32.69     750
LER 45N26.43  25E04.50     700
MDB 46N08.50  24E22.83     375
MII 47N27.30  26E04.49     400
MLR 45N29.50  25E56.62    1360
MSR 46N02.29  25E49.29     640
MTU 45N13.57  25E03.78    1018
ODB 45N46.48  27E03.37     140
PPE 46N15.47  27E51.02     267
PTT 46N56.09  26E23.17     350
SIN 45N21.24  25E30.77    1470
SRE 44N39.73  23E12.31     335
SSR 44N51.80  21E44.60     400
TIM 45N44.20  21E13.25      88
TLB 44N35.33  28E02.71      15
TNR 45N39.12  24E16.38     519
VCT 45N43.50  24E42.06     565
VLR 46N39.25  23E21.29    1080
VRI 45N52.20  26E43.50     480
ARR 45N22.05  24E38.00     871
BIZ 46N56.30  26E06.25     410
FTB 46N41.30  23E03.27    1100
DRR 46N47.21  22E43.31     955
LOT 45N26.89  23E46.17    1240
SBE 45N34.61  23E36.20    1350
SDR 45N29.32  26E22.59     720
SUR 45N27.36  26E22.76     500
SOF 42N41.12  23E20.05     546
PVL 43N08.80  25E10.30     187
JMB 42N28.02  26E34.98     216
KDZ 41N38.47  25E21.00     329
MMB 41N35.34  23E43.68     606
PLD 42N06.30  24E42.18      76
PSN 43N40.92  28E11.04      71
VTS 42N36.00  23E12.00    1500
DIM 42N02.77  25E35.00     133
PGB 42N33.00  24E10.00     775
RZN 41N41.16  24E42.57    1730
PTJ 45N54.00  15E57.29     988
BEO 44N49.28  20E27.32     129
COP 55N41.    12E26.        13
GRF 49N41.51  11E13.33     500
KKB 41N52.    23E04.59     434
VAL 51N56.36  10W14.65      14
STS 42N53.15   8W33.05     265
HOR 38N31.60  28W37.80      60
PLA  7N20.     1E34.48     390
GUA 13N32.30 144E54.70     230
BAN 51N10.30 115W33.50    1500
GUD 48N38.57   4W09.23    1393
TOR 30N28.90 140E18.30      82
CRI 32N40.92  35E02.70     450
BUD 47N29.02  19E01.40     198
UZD 46N35.55  18E34.90     202
PSZ 47N50.17  19E53.66     940

